Date,20000306_20050306,20010906_20060906,20030406_20080406,20021006_20091006,20040506_20110506,20021206_20121206,20040606_20140606,20010106_20160106,20020806_20170806,20040206_20190206,20000906_20200906,20020306_20220306,20031006_20231006,20000506_20250506,20011106_20261106,20030606_20280606,20000106_20300106,20010706_20310706,20030206_20330206,20040906_20340906,20040906_20190906,20050906_20350906,20060906_20210906,20070906_20120906,20080906_20180906,20090906_20290906,20100906_20250906,20110906_20260906,20120906_20420906,20130906_20430906,20140906_20240906,20150906_20300906,20160906_20360906,20170906_20370906,20180906_20280906,20190906_20490906,20200906_20400906,20210906_20510906,20220906_20320906,20230906_20480906,20240906_20540906,20250906_20450906
2004-09-06,99.09572911455427,95.64580122892895,91.09131564287912,86.57889975101962,82.03673627643239,77.97050682747306,74.31095142927173,71.11687703911446,68.28859006392919,65.78518977674332,63.73177226303752,61.92685423830241,60.44225514497232,59.14090668462205,57.976158095754464,56.96277066412548,55.90035053536636,55.42082365170616,54.63339885845056,,,,,,,,,,,,,,,,,,,,,,,
2004-09-07,99.05369614056698,95.45465623749232,90.82376920584161,86.24684853438016,81.72529020896883,77.65227144738392,74.05442182864493,70.86474030276433,67.9990763987615,65.47624459543033,63.4193891133853,61.73960595777356,60.230964915112054,59.06768098796174,57.894068602256105,56.99936989729393,55.7005478870276,55.51089346658545,54.44906821602794,54.031019883809904,64.9857982442345,,,,,,,,,,,,,,,,,,,,,
2004-09-08,99.13345835997794,95.68035348947087,91.16064459869763,86.60657406398838,82.17825956238677,78.01428893241612,74.3908636643377,71.1370501470342,68.30248519307821,65.76740119838588,63.68980187772729,61.90528572708788,60.498549594102606,59.22155179763166,58.06666179032218,57.09018723534853,55.75580057274793,55.25847035246959,54.31275008249093,53.889417018308464,65.22071134388575,,,,,,,,,,,,,,,,,,,,,
2004-09-09,99.246914076386,96.15393347957807,91.97424999268424,87.66641919937312,83.42975370879229,79.43042941964525,75.82925882795418,72.67167750585455,69.77952196054945,67.15157652223046,65.11279287239884,63.502455686270864,61.82748866594927,60.76029521186964,59.540352977305815,58.58883870278649,57.08237515165723,56.57316539193076,55.26489367628907,55.36951598084203,66.71020371804825,,,,,,,,,,,,,,,,,,,,,
2004-09-10,99.3428217736525,96.55417475989032,92.64485242014615,88.49856628449024,84.35339730525735,80.3760241208056,76.83009326565502,73.6127451231046,70.75222964441188,68.18991854797363,65.97495654109875,64.4195053514904,62.72721547071976,61.48289929373972,60.18863460188625,59.46982138410338,57.766175007408364,57.39576786237381,56.17802956805743,56.056652376991316,67.5831320437942,,,,,,,,,,,,,,,,,,,,,
2004-09-13,99.26976241128722,96.21503471275904,92.08933529291404,87.83519188877729,83.60432075311297,79.5669175946985,75.96537781882361,72.69647815843612,69.94801589336883,67.4378338814051,65.18157398423023,63.603996558005875,61.86944933741164,60.82353146899953,59.4661969270273,58.69432690642737,57.04352309028896,56.778729432779784,55.40546043406948,55.276165683093126,66.74126558224317,,,,,,,,,,,,,,,,,,,,,
2004-09-14,99.262085884656,96.19320648179533,92.05373750337334,87.76967415898334,83.53653983773576,79.47768785512059,75.87661797711064,72.51976141003821,69.7769977076034,67.30979444405332,65.06249348528804,63.394714697947656,61.673180167331054,60.54474002935704,59.45184223235523,58.72392837623644,56.68341994312717,56.7199229708837,55.10641525144499,55.12575270923172,66.62380591947682,,,,,,,,,,,,,,,,,,,,,
2004-09-15,99.19295883055534,95.92481145862853,91.61290445592186,87.21255781947333,82.81381587286432,78.75153301879153,75.08352561312255,71.74633898337501,68.86645569772699,66.3735775336402,64.12489071898517,62.519576413999815,60.930387805999594,59.8052708431474,58.85158675335211,58.098270168162855,56.14181392725693,56.14330953072668,54.56536720081278,54.49259994155105,65.84877238996629,,,,,,,,,,,,,,,,,,,,,
2004-09-16,99.03040467764465,95.30283681370311,90.63360002022537,85.97723078473223,81.4233851194013,77.2386303771587,73.54388747957358,70.21450201802126,67.41429352198172,64.90534702977479,62.608574778984625,61.110155617545246,59.55406626054456,58.65570767196693,57.639944207130725,56.77174453451913,55.09970498331893,54.95583124283877,53.522573215816344,53.62552723233728,64.23869505848529,,,,,,,,,,,,,,,,,,,,,
2004-09-17,99.04044598248532,95.38842111188079,90.79312656798443,86.208633337458,81.65043265593789,77.52217858895983,73.86085213587425,70.52796272845244,67.77598949275591,65.13811032346632,63.05248912568044,61.60287275979833,59.9839924647813,58.964830546674754,58.10257730037128,57.25878459652624,55.35119992638018,55.382840839468976,53.88926858529002,53.78858823962542,64.55982617300533,,,,,,,,,,,,,,,,,,,,,
